,pWriter,pPainter,pMover,pHeritage,pShopper,
Creation,"superfast maybe No, no, no planning. If you look at it, it's a script style, lettering. Like honestly. I have my own version of this type of tag. I don't really use it when I created it like over 35 years ago. And I created my own letters for my own whatever I wanted, and kept it individual.","That the tag itself? About seven, four to seven seconds?  [Planning?] Nope, nope. Other than it looks like they were. It could have because, I mean, just looking at the multiple text set, it looks like there were several people who all went up at the same time and tagged their own part of the wall. Yeah, I think those are all different individuals. And and this was probably done as let's go down there. Let's do it. Let's get out of there as quickly as possible.",,"I'm gonna assume that it's one of their like, tags because... and that maybe will take like, a few seconds to do.",,Creation
Motivation,"And I'm also part of the neighborhood. So it comes down to like, Okay, and how do I create something that's unique to myself? Not a copy. But, yet still fast. Still quick. Still semi legible,  it's at least legible to who you want to see it. And let me practice it so",recognition to try to gain some some of,,"I think I'm, like I mentioned, like, territorial, maybe like, showing that they've been there. Like tagging an area to show that, like, this is maybe their area or.. I don't know actually.",,Motivation
Successfulness,"I think success more comes on not getting caught or being, you know, uh. And that's kind of what it also is too, what can you get away with? Right? ","By their own definition of success, yes.",,"I think if they want it to be seen, it's pretty successful. Because there's already this big artwork on the wall. And if you just look around it, you can see this message there. And I feel like it being in this project might say, like, they are reaching some sort of audience. ",,Successfulness
Text 1,STONEY,STONEY,STONEY,STONEY,STONEY,Text 1
Text,Yeah.,Yes. I think this one says Stoney.,"Yeah. I used to be Army intelligence. So I guess I mean, yeah, that word. No, I don't I don't know.  Stoney.",That says Stoney.,S T. O. Is it N or W? Is this N? No. This is W right? [I think it's an N]  Stoney maybe.  Is it?,Text
Audience,"Um, I think it's just connection with the group or something that they that they are in, you know, that they feel part of like, you know, like, a a stoney culture or a stoney, you know, the probably just like, I'm sure they smoke, lots of weeds, or they love it? Even if they don't smoke a lot, they probably love it. ","I believe so. And I actually think I've seen that tag around in other places as well.  um, to a small group of people to which they would be able to identify who would probably would identify like, oh, Stoney look at what Stoney did yay","Nah, I think it's a graffiti writer. I've never seen that before. No,","I would say most likely, again, like other people that tag, mm maybe something relating to being a stoney.",I'm not sure. Maybe it's just someone's nickname or something. I don't know.,Audience
Message,,Just to an identification marker. Somebody's saying this is I was here. ,I don't know. I think they just wanted to put their name uh. Broadcast the name uh? ,"I think it is also like a territorial thing. Like, ""I've been here"" type of thing. Yeah.","Um, I was here. I've been here. Maybe.",Message
Intention,"So it could be a lot of things. Honestly, I grew up in an area and that was was kind of at that time. There was I guess you could say a little a little gang. And that was their their name Stoney boys. But yeah, in what Waipahu, this was in the 80s. They're not running now. But it's there was a gang who just, you know, that was their, their thing and they used to do a lot of crime and used to get stoned all the time, and maybe stoned, they were doing a little more than just stoning out, they were doing other things too you know. But I think all of them have been to prison for a very long time. So it's just as a part of their childhood.","yeah. Yeah. Just recognition 
",,,"Wow. Let me think. I think just for fun, not any serious intention here I don't think.",Intention
Location,"For that one? I don't know. That was more. I don't see no reason why this would be something to do really is very, super small. He just, maybe someone set out, maybe they're practicing. Yeah. Maybe they're practicing. I don't know. Because obviously it takes everything is about repetitions, right? Like even some of the other ones next to the one that you showed earlier. Right? So what's similar? Is this the same person? Or is this the same group? They obviously respect each other's space. So they're giving each other a panel right? And they don't, they don't cross over into it. But there is some similarit- familiarity with this one to this one. This one could be this is very legible. It's very defined, you know, these things are all similar. Even the style, this is a style, see the air uh, the fanning, that's a style looks like. Some things are very, very intentional, you know?","Well, this was interesting because at least they stayed off of the wall itself. I mean, the actual glass and these did tag part of the wall that we didn't paint. So. Yeah, so and it's one of the least a lesser invasive. As far as the mural goes, it does make me think that, from what I can see, no one, no one tagged around the. Well, I see. So they tagged the black above the mural, but they didn't tag anywhere near the messaging of the mural, which is at least kind of thoughtful. I mean, I mean, it does show at least that they respected that part of the mural, where the head was shown and where there is text,",I think maybe that's the space available. ,I think people that do graffiti might just tag areas that they end up. So maybe the Wo Fat building is just somewhere they hung around for a little while. And they just decided to find a space to tag.,I think someone just wanted leave a trace but don't want to draw too much attention.,Location
Creation,,"Planning to avoid any law, law enforcement? Probably, that's probably the only real plan. It was done. And about four to five seconds","Oh, less than a minute?  ",I think it might have took a couple of seconds.,"How long? I don't think it will take too long. Like five minutes, for me",Creation
Motivation,"Maybe that one got there. And then all of a sudden, these guys came in and made sure that they close up the spots. And uh, you know, now, it could be many things, honestly, you know, maybe they want to make sure that this guy doesn't have more space here or because it's obvious that this one looks very different from all of these other ones. Even this one. They're respectful to the art. So they're artists. These guys are artists, honestly. ",Probably along the line of just recognition,Just a juvenile delinquent.,"I would assume that people that tag do tag a lot, like in different areas. So maybe it's just something that they've been doing, and they just do it. Yeah. When they end up somewhere like this.",Maybe just a drunk person?,Motivation
Successfulness,"I don't think it's very good, I don't know, I wouldn't even stop to look at it. These are like peripheral type of thing, right? Unless you're looking out or want to dig deeper, then you'll pay more attention. I've seen these I pay attention to it because I kind of like whatever it it's been. I've lived through these things, but I don't care about it. You know, like, I know, I understand it. And it's cool, honestly, like it's uh it means there's some type of life in the neighborhood, you know, whatever it is, I don't want to belabor this. But like you are maybe some of these, like, this one looks very different than the first one, right? ","I think, for their own criteria, pretty successful.","Yeah, I'm pretty. I'm pretty sure it's successful. I mean, you know, it's gonna be there for a while. Someone should clean it up right away.","I think it's pretty small compared to the other tags on the wall. But maybe it does have like, a characteristic like when they put Stoney maybe that shows something about the person that wrote it. ","For me, it's not because I always see such things around the city. So I would not like notice it. Yeah, I didn't notice unless you show it to me.",Successfulness
Text 2,水 花 火,水 花 火,水 花 火,水 花 火,水 花 火,Text 2
Text,No.,"I believe I know the meaning, but I don't I wouldn't hazard the pronunciation. So I believe we have water, earth and fire, I believe, I believe. water plants or water, no Flower it was water, flower and fire. That's right.",Yes. I can. ,"I know hua and um fire. [The first one is shui, but they've sort of changed it a bit. ]  Oh I see.",Is it Shui Hua Huo,Text
Audience,"Chinese? Well, I'm assuming it's Chinese, I don't know if it what it is.  Yeah. So if it's Chinese, I'm assuming it is. You got to be a have a Chinese language background to understand it, so.",Sure. To the local Chinese community? Yes.,"I think the full community because he kind of explained that for me. That's why I understood it. You know. But, you know, they were drawn by students. A group of students, you know, you know, short in a short time in the morning, I was surprised. It took no less than three, four hours to finish.","I would assume Chinese people or like Chinese speaking people, because it is Chinese characters.","I guess like this paintings and also these characters were left by maybe by like some like organizations institutions, like a Chinese school or something they ask their students to do so. And I think, you know, the characters match with the pictures right? Shui, hua, and huo, like water flower then fire. So I think this is a way to just to a symbol of Chinese culture, right?, the very symbolic classical Chinese characters, and the pictures,",Audience
Message,"Wo Fat? Maybe that's just a guess. I I I,  like this one. The blue one, I don't know if that's, is that a character or is that just a design? or like a skill  ","the message, I believe we have the water was in reference to the voyaging of immigrant communities to Hawaii at the time, the flower was the idea of the commerce and produce that they would provide and grow. And the fire was actually in reference to the Chinatown fire that had happened. So it's a little bit about the migration, it's a little bit about the culture, you know, the flowering of Chinatown, and then a little bit about the, some of the tragedy and some of the, you know, historical events that happened in Chinatown.","The first character is uh water […] And it's at the tail, which is the beginning of the trip of Chinese, crossing the ocean to America, to Hawaii. And then the second one is flower. That's mean a blooming, doing well, which is green color. And then at the end is a fire, which is the fire that burned down Chinatown twice. And then at the end would be the dragon. So the dragon rise again. Is that a dragon or pheonix? A dragon. So the dragon rise again. So despite all the adversity, the Chinese community or Chinatown, still survives.","I assume it's like water, earth and fire. Like the elements","I think they just want to represent a part of Chinese culture with the most like concise symbols to manifest you know, this is an area of you know, Chinese people have like habitate",Message
Intention,"I'm not sure the intention. I mean, it's like everything is like, I don't know if related to the building ownership, I doubt it. Because they just wanted something on the wall, right. So they probably paid somebody to do something, and it's, you know, like you want to try to fill up a space, make it look good, make sure it doesn't turn really ugly, with other things. Because if it's a blank space, someone's gonna utilize it. I think it's more or less the artist's artist's interpretation of what they were wanting to do, but I don't think there's any thing related to the.. I mean, it's, they just probably asked for something to fill up space, the whoever owns the building, and had them come out and put something for temporarily. So that way, it's, you know, it's just like, when they do high rises, they put up these big barriers, and they got art all over. I mean, what's the purpose of it? Because when it costs money, obviously, but there's a there's another reason. So you may also kind of like, make it make the project more friendly, right? It's more colorful. It's not just bland drab, and like, you know, waiting for someone else to take advantage of it, or even just even if no one does is so really, you know, there's no life to it. So that's how I see things, I think about things when I see the high rises, or any construction project. And they put up there thing and they have art, like some don't. But what there's like on the corner, one is very clean, it's dark, gray, or black. And if you think about it, it does not give any life to this, this immediate vicinity, but if you add anything with color, something, doesn't matter. It's in the subconscious, and it brings energy to the area, whether you understand it or not or, or notice it, you know,","to within one image to bring forward a little bit of Chinese culture, that also to create a narrative that links together in the migration, the the mercantile aspect, and the some of the historical events that happened in Chinatown.",,I think it correlates with the colors of the artwork.,"Maybe they will, they want to show you know, Chinese language is something that combines with you know, the Chinese understanding of nature and the representation of it.",Intention
Location,,"To create a sense of motion and energy as if it's the scales themselves are shivering, and there, there's the green, blue, and red are actually intermixed between the different scales. So it kind of like talks about the mingling of these different events together and how, like in history, we kind of lump all these things into sort of one, one big narrative. So it's the interconnection between the idea of migration and cultural, burgeoning, emerging, the burgeoning of culture and also some of the challenges that Chinatown has faced, like fires and other things.","Well, because they asked Wo Fat for permission, because uh Wo Fat was bothered by uh you know, the windows all broken. So they board it up and looks eh is really an eyesore, and I've been telling them look, maybe you can paint something, it looks nice. And they did. And it looked nice for a while. You know, I mean, it was something to behold, for people to walk by, they see, ""Wow, that's a beautiful painting."" But again, we've got complaint from the city, they saying that, you know, we violate the cultural part.",[correlates with colors of sections],"Yeah because Wo Fat building is kind of a large building right? so there's the area is large enough to for them to draw a dragon and these are like the body of the dragon so it's kind of a very I think it's a picture that fit in the -I don't know how to say it - like like the the the model no. How to say? I forgot.  [like the space?]  Oh, yeah, The space, yeah.",Location
Creation,"That painting? I don't know, three days? I'm thinking","Oh, sure. Yeah. So this was we had just about two to three hours of zoom meetings pref- Previous as a lead up to this project, I was with XXXXX XXXXX. That's right, it was a community team, how you can actually get […] Okay, that's great. I've just got so many things going on I acronyms I get really lost sometimes. And I was brought on board to lead the community mural. We began approximately at like seven in the morning. And by three o'clock that afternoon, we were done. So it was all done within a day.","Well, I think, the artist I forgot his name. He's a pretty famous artist, by the way. ","Oh okay, I would think maybe hours, it looks pretty intricate.","I think that will take longer, maybe one week.",Creation
Motivation,,"it was to celebrate Chinese cultural community and history of Chinese culture and of early migrants in Hawaii. And it's also a connection with within Hawaii Hawaiian culture, we have our Mo'o or serpent. It's it's kind of a bit, you know, beings that are protectors of freshwater, but they're also the protectors of our stories. The word of Mo'o is the name of these mystical creatures. But mo'olelo is story and mo'o ku'auhau is your genealogy, and Mo'o Puna is your grandchildren. So this word this this the serpent character is a sense of kind of continuity, it perpetuates. I'm not sure if those are some of the same connotations that you have with the dragon in Chinese culture. But I'm what I do think I'm pretty certain about is that both in both Chinese culture and in Hawaiian culture, this idea of a serpent or this lizard kind of motif is very strong. Right? So it has, we have different meanings, but they're both very prominent,","Instead of just any uh you know, painting, because I told him, it should be something to relate to Chinatown","It definitely fits into the theme of Chinatown. Like, I know, a dragon is a big symbol in the Chinese culture. And the Chinese characters also, like represent, like China, or Chinatown.","because what these three characters represent are very simple, natural elements as it's easy to draw, right? And it's very, very obvious for the audience. Like they can have a very direct impression. What's the art.",Motivation
Successfulness,"I think it's successful. I mean, it's there to just make, you know, like how I just explained with the...  it's a project you want people to be with the project makes but how friendly is it, you know? How is it contributing value? You know, art does contribute value, whether we understand it or not, especially murals and things. It has a, you know, it has a message, even though we don't understand it, it's there, but it also has life it has color it has someone's perspective, which is important, because we all should have a perspective. Right? And that's kind of, I think it's very successful. It's more successful than leaving it blank. But anything put there would have been successful.","I think it was pretty successful. It's not necessarily going to be the most technically perfect mural. It was because we only had very limited time. Very limited budget. I think I, I basically donated my time to do this. Because I think I only said, I just give me a couple hundred dollars is fine. And they paid for all the other supplies and everything like that. So yeah, I basically I ended up getting a $75 fine for parking in the wrong place. So I was like, Oh, well, there goes. There it goes half of my payment, this mural, which is fine. But I believe it was successful based upon the parameters that we had. It was also successful, because I think we got close to about 25 to 30 students were able to make it on that day. And it would have been more of a challenge if we had had to do multiple days because we would have to do multiple setups and, you know, setting up quick drop cloths, bringing down the paints and supplies, getting everything ready. getting as much done getting it to be done enough on one day, I think meant it was a pretty successful mural.","oh, I think it's very successful, I have a lot of people, you know, telling me, you know, it was great, [particularyl inclusion of Chinese characters?]  Yeah, that's the, you know, that's part of China, Chinatown. ",I think it's successful. It does bring like the vibe of Chinese culture.,"For me, it is but I don't think for those non Chinese speakers like they can get what this images want to convey to them immediately.  [why do you think it is successful?]  Because for me, as the Chinese speaker, native Chinese speaker, I can immediately you know, get what they want to convey to the message they want to convey to me.",Successfulness
Text 3,Wo Fat Renewal Project,Wo Fat Renewal Project,Wo Fat Renewal Project,Wo Fat Renewal Project,Wo Fat Renewal Project,Text 3
Text,,"[reads text; 18:40] Awesome. I think we need more stories than less stories, we need more context for the world around this. I'm a big fan of augmented reality. And I'm hoping that we can basically get the stories every square foot's got stories, every square foot of Earth's got stories, that's a lot of that's a lot of a lot of data there. But but we I am definitely for more data than less data. And if it if there's any way for us to help to empower or to build a sense of community and commons, then murals are kind of a quick and wordless way of doing it generally, wordless here because we have characters involved in the for the for the actual dragon mural. We can we can bring that forward. And with this project, it's putting a very specific point on who's doing the project and why",,,"""Wo Fat renewal project by the mighty union, the purpose of the project is to rehabilitate the Wo Fat building with the Secretary of the new standards regulation, to promote long term value Oh, to maintain this really low rise open forum and to preserve the (??) history""",Text
Audience,"I think it's more to bring value to the building. Honestly, I see it as the developer, my interpretation, as the developer, wanting to make sure that everybody wants to be invested in it, thinking that they're just renewing the neighborhood, but they have an obvious financial interest in it, and they want it to be successful. So how do you keep it successful? You gotta have to cume a community wanting it to be successful, right? First of all, even though they bring in outside people, outside people should have a ?? in the community, right? They're not friendly to the people who are visiting there. You know, if they don't want the people who are it's going to be a hotel. So obviously, you're gonna have outside visitors coming in and staying in a hotel like what's the.. it's a form of gentrification, honestly, you probably know that's what I mean. There's a different levels of interpreting it. But being where it's at and what it's saying, and the renewal project, I read between the lines and see it as well, how do we increase the value of our investment? And how do we, you know, bring what we're trying to do here and make it part of the community, even though it's not part of the community, which is gonna be visitors. Right? And that's kind of what I see. I don't know what the message is. But the message is, it's a renewal project, haha.",,"Well, I think as a developer, you know, that thing been uh the building been empty for three years. And, you know, he's gonna make it kind of like a boutique hotel. I'm not sure it's gonna work. So many homeless around. You know, so So that's part of the rejuvenation program.","Um, yes, I think the people that live around Chinatown, people that go to Chinatown, because it's really rundown now. So that may be why they're putting a renewal project sign on the building.","I think so. [What do you think it was?]  um, I think they intend to inform all the visitors of Chinatown, no matter like the local or you know, the travelers, like once they get there, they will see the notice and they will know the meaning of this project.",Audience
Message,,,"Uh to everyone. You know, I think basically, they tell people, you know, let us build it, don't protest. […]  We're helping the community.","I think they do want to like renovate the area. And it looks like they mentioned maybe keeping historic characters of Chinatown. So keeping it as Chinatown, but renovating it, maybe",They want to emphasize the importance of this restoration project. And want to reactivate rehabilitate the historical meaning of this site.,Message
Intention,,,,,,Intention
Location,,"Got it. Got it. Got it. That's Oh, I see. I see. I see. If I'm not mistaken. It's on the corner. It's on the corner. So you can read it going down? Mauna Kea, Mauna Kea, and also you can read it on hotel streets. But yeah, but I believe it's designed to get both ways of traffic that might be going through that location.","Right on the corner, that'd be more strategic. And that's where the light is. ","It's pretty visible. I think that's right on the sidewalk. Right. So if you walk by, it might make some people more hopeful about the area, because it is really rundown right now.","Because once you get there, you would like to know where the entrance is, right? So maybe you're going around looking for the door? And then you notice this poster",Location
Creation,,"Oh, could be can think it was it was definitely manufactured off site? And I wouldn't imagine if it took more than an hour to install the actual signage. Yeah.","Ah it won't take too long. You know, just hire someone to do it.","Since this is a poster about a project, it probably takes like, I would say, months to years to come up with this plan, and then maybe finalize it and then post it on the wall for other people to see.","Well, with a printer, maybe two hour",Creation
Motivation,,"Um, recognition? It's like the taggers, basically, but recognition so that the general community would understand what the goal is for the renovation? And who is behind it who's, who's taking responsibility for that.",,,"Um actually I saw this notice before. And before I saw it, I always thought that this building was already abandoned. Like it was a wasteland. But after I saw it, I know okay, is just under restoration and one day will become a very fabulous building and I may visit it.",Motivation
Successfulness,"I think it's successful, yeah? I think I think a lot of people would take it at it's face value, and be with it, you know, they'll, they'll kind of be on board with it. I think it has huge value right there.","oh, good, big bright, red, which is also a culturally significant in Chinese culture. So yeah, I think they did it. And honestly, just Wo Fat, just I don't, I don't because I don't speak Mandarin or any of the other variations of Chinese language. It's just the fun just sounds like a fun word. It just, it just sounds like a classic. You know, we let's go let's go. Wo Fat, you know, so yeah,  [...] Oh, yeah. So it's just a fun, it's fun. It just sounds like a fun place to go. Then it has cultural connection.","Ah I think so I mean, you know, if people read it, yeah, sure, it's successful. ","Yeah, I think it is successful in letting people know that this type of project might be happening in the future.","Yes, I think so. Yeah.",Successfulness
Text 4,Mural text,Mural text,Mural text,Mural text,Mural text,Text 4
Text,"I can read. Yeah, I can read it. ",,,"[reading]  Now ships that came in 1850, the blooming diversity and its rebirth from the ashes make a better Chinatown.","""The ships that came in  1850 Blooming diversity, re births from the ashes. Better Chinatown."" Oh, wow. What is ARC?",Text
Audience,"Yeah, there is an intended audience. But there's also more of a storytelling uh","Yes. So this was for the general community, it's to give them an understanding of what who made the mural, and what they're and what our intentions were for doing it.","Oh, for everyone is kind of explain uh the, you know, the painting.",I think it's for whoever is looking at the artwork. It kind of describes why there might be those certain characters on there.,I think so. I think the writer wants to inform like all the visitors to know the history of Chinatown.,Audience
